id,first_name,last_name,gender,card_type,total_spent
1,Eran,Spittles,Female,jcb,61.88
2,Bartlett,Gallager,Male,mastercard,95.73
3,Sophronia,Troup,Female,visa-electron,67.47
4,Farrah,Moggan,Female,switch,73.73
5,Consalve,Kislingbury,Male,jcb,43.67
6,Bogart,Hurleston,Male,diners-club-carte-blanche,37.82
7,Alvy,Quinlan,Male,solo,39.5
8,Evelin,Cometti,Male,jcb,93.16
9,Keir,Appleton,Male,jcb,68.07
10,Larina,Kief,Female,diners-club-enroute,50.44
11,Libbey,Shimmings,Female,jcb,51.75
12,Nita,Giffen,Female,jcb,75.1
13,Allianora,Ledram,Female,americanexpress,44.87
14,Braden,Clapperton,Male,switch,43.53
15,Elliott,Saice,Male,diners-club-us-ca,13.63
16,Claudio,Daville,Male,jcb,51.67
17,Viola,McColley,Female,diners-club-carte-blanche,86.27
18,Rosabelle,Crawforth,Female,jcb,70.2
19,Corabel,Scawn,Female,visa-electron,87.3
20,Timotheus,Sommerland,Male,jcb,58.37
21,Henrik,Lamonby,Male,jcb,96.52
22,Tobe,Vandrill,Female,visa-electron,80.97
23,Winnie,Tyreman,Male,mastercard,97.82
24,Robinson,Zanneli,Male,jcb,12.89
25,Adolph,Brayshay,Male,jcb,19.03
